WAST,DP,Dta,Dts,EV,QFE,QFF,QNH,RF,RH,S,SR,T,ST1,ST2,ST3,ST4,Sx
31/03/2016 17:10,12.2,221,34,0,1011.7,1015.2,1015.3,0,57.2,5,85,21.01,27.6,25,25.1,26.1,10
31/03/2016 17:20,12.6,227,31,0,1011.7,1015.1,1015.3,0,58.7,5,100,21.03,27.7,25.1,25.1,26.1,11
31/03/2016 17:30,12.8,69,87,0,1011.7,1015.2,1015.3,0,60.2,5,62,20.8,27.7,25.1,25.2,26.1,8
31/03/2016 17:40,13.5,225,26,0,1011.7,1015.2,1015.3,0,63.4,5,39,20.74,27.7,25.2,25.2,26.1,11
31/03/2016 17:50,13.3,231,21,0,1011.8,1015.3,1015.4,0,62.7,4,35,20.71,27.8,25.2,25.2,26.1,11
31/03/2016 18:00,12.8,226,25,0,1011.9,1015.4,1015.5,0,61,5,38,20.63,27.8,25.3,25.2,26.1,9
31/03/2016 18:10,12.1,239,25,0,1012,1015.5,1015.6,0,59.3,6,29,20.34,27.8,25.3,25.2,26.1,12
31/03/2016 18:20,12,231,20,0,1012.1,1015.6,1015.7,0,59.8,4,16,20.1,27.8,25.4,25.2,26.1,8
31/03/2016 18:30,12.2,244,14,0,1012.2,1015.7,1015.8,0,60.9,4,17,20.07,27.8,25.4,25.2,26.1,8
31/03/2016 18:40,12.5,246,10,0,1012.3,1015.8,1015.9,0,61.7,4,20,20.15,27.8,25.5,25.2,26.1,6
31/03/2016 18:50,13.6,243,22,0,1012.2,1015.7,1015.8,0,65.9,6,25,20.23,27.8,25.5,25.2,26.1,10
31/03/2016 19:00,12.8,236,24,0,1012.3,1015.8,1015.9,0,62.8,7,19,20.21,27.8,25.6,25.2,26.1,11
31/03/2016 19:10,12.3,239,21,0,1012.4,1015.9,1016,0,61,6,24,20.12,27.8,25.6,25.3,26.1,11
31/03/2016 19:20,11.8,244,29,0,1012.5,1016,1016.1,0,59.2,6,8,20.07,27.7,25.6,25.3,26.1,10
31/03/2016 19:30,11.4,252,28,0,1012.7,1016.2,1016.3,0,57.7,7,19,20.03,27.7,25.7,25.3,26.1,10
31/03/2016 19:40,11.2,244,28,0,1012.9,1016.4,1016.5,0,57.7,6,14,19.85,27.6,25.7,25.3,26.1,10
31/03/2016 19:50,11.4,241,26,0,1013.1,1016.6,1016.7,0,58.5,6,10,19.87,27.6,25.7,25.3,26.1,10
31/03/2016 20:00,11.6,236,26,0,1013.2,1016.7,1016.8,0,58.7,5,14,19.93,27.6,25.7,25.3,26.1,10
31/03/2016 20:10,11.9,223,26,0,1013.1,1016.6,1016.7,0,59.9,4,21,20,27.5,25.8,25.3,26.1,8
31/03/2016 20:20,11.7,243,26,0,1013.1,1016.6,1016.7,0,59.1,6,15,20.02,27.5,25.8,25.3,26.1,10
,,,,,,,,,,,,,,,,,
31/03/2016 20:30,11.3,247,23,0,1013.1,1016.6,1016.7,0,57.6,6,24,20.01,27.4,25.8,25.4,26.1,11
31/03/2016 20:40,11.3,239,24,0,1013.1,1016.6,1016.7,0,57.7,6,11,19.95,27.3,25.8,25.4,26.1,11
31/03/2016 20:50,11,234,27,0,1013.1,1016.6,1016.7,0,56.6,5,14,19.93,27.3,25.8,25.4,26.1,10
31/03/2016 21:00,11.2,238,23,0,1013.2,1016.7,1016.8,0,57.2,4,17,19.92,27.2,25.8,25.4,26.1,6
31/03/2016 21:10,11.7,229,19,0,1013.3,1016.8,1016.9,0,59.1,4,20,19.94,27.2,25.8,25.4,26.1,6
31/03/2016 21:20,11.8,230,11,0,1013.4,1016.9,1017,0,59.6,4,22,19.92,27.1,25.9,25.4,26.1,8
31/03/2016 21:30,11.2,238,25,0.1,1013.5,1017,1017.1,0,57.6,6,16,19.85,27.1,25.9,25.4,26.1,11
31/03/2016 21:40,10.7,226,28,0,1013.5,1017,1017.1,0,56.2,5,30,19.67,27,25.9,25.4,26.1,8
31/03/2016 21:50,10.6,234,20,0,1013.4,1016.9,1017,0,57,4,15,19.34,27,25.9,25.5,26.1,7
31/03/2016 22:00,10.8,233,14,0,1013.4,1016.9,1017,0,58.2,3,27,19.24,26.9,25.8,25.5,26.1,5
31/03/2016 22:10,11,244,18,0,1013.4,1016.9,1017,0,59.3,4,24,19.15,26.8,25.9,25.5,26.1,6
31/03/2016 22:20,11,252,15,0,1013.3,1016.8,1016.9,0,59.1,4,23,19.27,26.8,25.9,25.5,26.1,6
31/03/2016 22:30,11.1,249,17,0,1013.3,1016.8,1016.9,0,59.9,4,17,19.16,26.7,25.8,25.5,26.1,7
31/03/2016 22:40,11.1,238,19,0,1013.2,1016.7,1016.8,0,59.3,4,19,19.25,26.7,25.8,25.5,26.1,7
31/03/2016 22:50,11.1,246,4,0,1013.2,1016.7,1016.8,0,59.9,3,14,19.16,26.6,25.9,25.5,26.1,5
31/03/2016 23:00,11.3,250,5,0,1013.2,1016.7,1016.8,0,61,3,17,19.09,26.6,25.8,25.5,26.1,5
31/03/2016 23:10,11.4,243,11,0,1013.1,1016.6,1016.7,0,61.9,4,13,18.94,26.5,25.8,25.5,26.1,5
31/03/2016 23:20,11.5,250,12,0,1013,1016.5,1016.6,0,62.8,4,11,18.81,26.5,25.8,25.6,26.1,6
31/03/2016 23:30,11.4,257,11,0,1012.9,1016.4,1016.5,0,63.5,5,13,18.48,26.4,25.8,25.6,26.1,7
31/03/2016 23:40,11.4,250,15,0,1012.9,1016.4,1016.5,0,64.7,5,10,18.19,26.4,25.8,25.6,26.1,6
31/03/2016 23:50,11.4,243,5,0,1012.7,1016.2,1016.3,0,65.8,3,11,17.95,26.3,25.8,25.6,26.1,5
